2014-03-03 16:03:11.835 TouchPointLogger[4653:60b] (03, 170.500000,	477.500000)
2014-03-03 16:03:11.852 TouchPointLogger[4653:60b] (03, 170.500000,	480.000000)
2014-03-03 16:03:11.869 TouchPointLogger[4653:60b] (03, 171.000000,	483.000000)
2014-03-03 16:03:11.885 TouchPointLogger[4653:60b] (03, 171.000000,	485.500000)
2014-03-03 16:03:11.902 TouchPointLogger[4653:60b] (03, 171.500000,	488.500000)
2014-03-03 16:03:11.919 TouchPointLogger[4653:60b] (03, 171.500000,	491.000000)
2014-03-03 16:03:11.935 TouchPointLogger[4653:60b] (03, 171.500000,	494.000000)
2014-03-03 16:03:11.952 TouchPointLogger[4653:60b] (03, 171.500000,	496.000000)
2014-03-03 16:03:11.969 TouchPointLogger[4653:60b] (03, 171.500000,	498.500000)
2014-03-03 16:03:11.985 TouchPointLogger[4653:60b] (03, 171.500000,	500.500000)
2014-03-03 16:03:12.002 TouchPointLogger[4653:60b] (03, 171.500000,	502.000000)
2014-03-03 16:03:12.019 TouchPointLogger[4653:60b] (03, 171.500000,	504.500000)
2014-03-03 16:03:12.035 TouchPointLogger[4653:60b] (03, 171.500000,	506.500000)
2014-03-03 16:03:12.052 TouchPointLogger[4653:60b] (03, 172.000000,	508.000000)
2014-03-03 16:03:12.069 TouchPointLogger[4653:60b] (03, 172.000000,	509.500000)
2014-03-03 16:03:12.085 TouchPointLogger[4653:60b] (03, 172.000000,	511.500000)
2014-03-03 16:03:12.102 TouchPointLogger[4653:60b] (03, 172.000000,	512.500000)
2014-03-03 16:03:12.119 TouchPointLogger[4653:60b] (03, 172.500000,	514.000000)
2014-03-03 16:03:12.135 TouchPointLogger[4653:60b] (03, 172.500000,	515.000000)
2014-03-03 16:03:12.152 TouchPointLogger[4653:60b] (03, 172.500000,	516.000000)
2014-03-03 16:03:12.169 TouchPointLogger[4653:60b] (03, 172.500000,	517.000000)
2014-03-03 16:03:12.185 TouchPointLogger[4653:60b] (03, 172.500000,	518.000000)
2014-03-03 16:03:12.202 TouchPointLogger[4653:60b] (03, 172.500000,	518.500000)
2014-03-03 16:03:12.219 TouchPointLogger[4653:60b] (03, 172.500000,	519.500000)
2014-03-03 16:03:12.235 TouchPointLogger[4653:60b] (03, 172.500000,	520.000000)
2014-03-03 16:03:12.252 TouchPointLogger[4653:60b] (03, 172.500000,	520.500000)
2014-03-03 16:03:12.269 TouchPointLogger[4653:60b] (03, 172.500000,	521.000000)
2014-03-03 16:03:12.285 TouchPointLogger[4653:60b] (03, 172.500000,	521.500000)
2014-03-03 16:03:12.302 TouchPointLogger[4653:60b] (03, 172.500000,	522.000000)
2014-03-03 16:03:12.319 TouchPointLogger[4653:60b] (03, 172.500000,	522.500000)
2014-03-03 16:03:12.335 TouchPointLogger[4653:60b] (03, 172.500000,	523.000000)
2014-03-03 16:03:12.352 TouchPointLogger[4653:60b] (03, 172.500000,	523.500000)
2014-03-03 16:03:12.369 TouchPointLogger[4653:60b] (03, 172.500000,	524.000000)
2014-03-03 16:03:12.402 TouchPointLogger[4653:60b] (03, 172.500000,	524.500000)
2014-03-03 16:03:12.435 TouchPointLogger[4653:60b] (03, 172.500000,	525.000000)
2014-03-03 16:03:12.469 TouchPointLogger[4653:60b] (03, 172.500000,	525.500000)
2014-03-03 16:03:12.502 TouchPointLogger[4653:60b] (03, 172.500000,	526.000000)
2014-03-03 16:03:12.619 TouchPointLogger[4653:60b] (03, 173.000000,	526.000000)
2014-03-03 16:03:12.635 TouchPointLogger[4653:60b] (03, 173.500000,	526.000000)
2014-03-03 16:03:12.652 TouchPointLogger[4653:60b] (03, 176.000000,	526.500000)
2014-03-03 16:03:13.553 TouchPointLogger[4653:60b] (04, 165.000000,	415.500000)
2014-03-03 16:03:13.702 TouchPointLogger[4653:60b] (04, 164.000000,	422.000000)
2014-03-03 16:03:13.719 TouchPointLogger[4653:60b] (04, 164.000000,	423.500000)
2014-03-03 16:03:13.735 TouchPointLogger[4653:60b] (04, 164.000000,	426.500000)
2014-03-03 16:03:13.752 TouchPointLogger[4653:60b] (04, 164.000000,	429.500000)
2014-03-03 16:03:13.769 TouchPointLogger[4653:60b] (04, 164.000000,	433.000000)
2014-03-03 16:03:13.785 TouchPointLogger[4653:60b] (04, 164.000000,	436.500000)
2014-03-03 16:03:13.802 TouchPointLogger[4653:60b] (04, 164.000000,	440.500000)
2014-03-03 16:03:13.819 TouchPointLogger[4653:60b] (04, 164.500000,	444.000000)
2014-03-03 16:03:13.835 TouchPointLogger[4653:60b] (04, 165.000000,	447.000000)
2014-03-03 16:03:13.852 TouchPointLogger[4653:60b] (04, 165.500000,	449.500000)
2014-03-03 16:03:13.869 TouchPointLogger[4653:60b] (04, 166.000000,	452.000000)
2014-03-03 16:03:13.885 TouchPointLogger[4653:60b] (04, 166.000000,	454.500000)
2014-03-03 16:03:13.902 TouchPointLogger[4653:60b] (04, 166.500000,	457.000000)
2014-03-03 16:03:13.919 TouchPointLogger[4653:60b] (04, 166.500000,	459.500000)
2014-03-03 16:03:13.935 TouchPointLogger[4653:60b] (04, 167.000000,	462.000000)
2014-03-03 16:03:13.952 TouchPointLogger[4653:60b] (04, 167.000000,	464.000000)
2014-03-03 16:03:13.969 TouchPointLogger[4653:60b] (04, 167.000000,	466.500000)
2014-03-03 16:03:13.985 TouchPointLogger[4653:60b] (04, 167.500000,	468.500000)
2014-03-03 16:03:14.002 TouchPointLogger[4653:60b] (04, 167.500000,	470.000000)
2014-03-03 16:03:14.019 TouchPointLogger[4653:60b] (04, 168.000000,	471.500000)
2014-03-03 16:03:14.036 TouchPointLogger[4653:60b] (04, 168.000000,	473.000000)
2014-03-03 16:03:14.052 TouchPointLogger[4653:60b] (04, 168.000000,	474.500000)
2014-03-03 16:03:14.069 TouchPointLogger[4653:60b] (04, 168.000000,	475.500000)
2014-03-03 16:03:14.085 TouchPointLogger[4653:60b] (04, 168.000000,	476.500000)
2014-03-03 16:03:14.102 TouchPointLogger[4653:60b] (04, 168.000000,	477.500000)
2014-03-03 16:03:14.119 TouchPointLogger[4653:60b] (04, 168.000000,	478.500000)
2014-03-03 16:03:14.135 TouchPointLogger[4653:60b] (04, 168.000000,	479.500000)
2014-03-03 16:03:14.152 TouchPointLogger[4653:60b] (04, 168.000000,	480.500000)
2014-03-03 16:03:14.169 TouchPointLogger[4653:60b] (04, 168.000000,	481.500000)
2014-03-03 16:03:14.185 TouchPointLogger[4653:60b] (04, 168.000000,	482.000000)
2014-03-03 16:03:14.202 TouchPointLogger[4653:60b] (04, 168.500000,	483.500000)
2014-03-03 16:03:14.219 TouchPointLogger[4653:60b] (04, 168.500000,	484.000000)
2014-03-03 16:03:14.235 TouchPointLogger[4653:60b] (04, 168.500000,	485.000000)
2014-03-03 16:03:14.252 TouchPointLogger[4653:60b] (04, 168.500000,	486.000000)
2014-03-03 16:03:14.269 TouchPointLogger[4653:60b] (04, 168.500000,	487.000000)
2014-03-03 16:03:14.285 TouchPointLogger[4653:60b] (04, 168.500000,	488.000000)
2014-03-03 16:03:14.302 TouchPointLogger[4653:60b] (04, 168.500000,	489.000000)
2014-03-03 16:03:14.319 TouchPointLogger[4653:60b] (04, 168.500000,	490.000000)
2014-03-03 16:03:14.335 TouchPointLogger[4653:60b] (04, 168.500000,	491.000000)
2014-03-03 16:03:14.352 TouchPointLogger[4653:60b] (04, 169.000000,	492.000000)
